AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TimeSinceLastTransaction,HighTransactionAmount,HighLoginAttempts,RapidTransaction,NewDevice,NewLocation,SuspiciousMerchant
AC00128,0.007207441957422414,2023-04-11 16:29:14,1,36,365,14,0,0.8387096774193548,0,0.24482758620689654,0.0,0.33683185966818,2024-11-04 08:08:08,0.27196361719487294,False,False,True,False,False,False
AC00455,0.1959402767282487,2023-06-27 16:44:19,1,15,50,51,0,0.8064516129032258,0,0.45172413793103444,0.0,0.9180546275595326,2024-11-04 08:09:35,0.4834690613568524,False,False,True,False,False,False
AC00019,0.0656799645621075,2023-07-10 18:16:08,1,23,229,8,2,0.016129032258064557,3,0.1586206896551724,0.0,0.06863734931174438,2024-11-04 08:07:04,0.519353302937402,False,False,True,False,False,False
AC00070,0.0960158428225239,2023-05-05 16:32:11,1,33,182,1,2,0.12903225806451613,3,0.05172413793103449,0.0,0.569197956003802,2024-11-04 08:09:06,0.33788307006429474,False,False,True,False,False,False
AC00411,0.006873908851655939,2023-10-16 17:51:24,0,1,298,90,2,0.12903225806451613,3,0.6482758620689656,0.0,0.4925911187531677,2024-11-04 08:06:39,0.7884625770744624,False,False,True,False,False,False
AC00393,0.04788805795137713,2023-04-03 17:15:01,1,28,562,53,0,0.0,3,0.5586206896551724,0.0,0.045737843102722775,2024-11-04 08:06:36,0.2500819733961481,False,False,True,False,False,False
AC00199,0.003554212158323996,2023-02-15 16:36:48,0,39,235,18,0,0.30645161290322587,0,0.44482758620689655,0.0,0.8883303734554748,2024-11-04 08:10:09,0.12091745864702408,False,False,True,True,True,False
AC00069,0.08919925997342157,2023-05-08 17:47:59,0,16,483,19,1,0.7903225806451613,2,0.9689655172413792,0.0,0.18115460779713835,2024-11-04 08:10:55,0.346263635914847,False,False,True,False,False,False
AC00135,0.05522578627823957,2023-03-21 16:59:46,0,11,670,34,1,0.532258064516129,1,0.26206896551724135,0.0,0.6045605421617909,2024-11-04 08:11:14,0.2143397289694886,True,False,True,False,False,False
AC00385,0.4250983662089272,2023-03-31 16:06:57,1,26,194,6,0,0.5967741935483871,0,0.3793103448275862,0.0,0.06188385358620237,2024-11-04 08:06:32,0.2417128194502849,False,False,True,False,False,False
AC00150,0.009130468770357246,2023-03-14 16:46:10,0,0,200,72,2,0.5483870967741935,1,0.16896551724137931,0.0,0.5040264197666963,2024-11-04 08:06:45,0.19509693713696663,False,False,True,False,False,False
AC00459,0.09889256585975975,2023-02-06 17:30:00,1,22,572,29,2,0.04838709677419356,3,0.5620689655172414,0.0,0.09595919536134934,2024-11-04 08:07:12,0.09630617625314852,False,False,True,False,False,False
AC00392,0.2575813638377153,2023-06-07 17:21:28,0,23,31,56,1,0.09677419354838712,3,0.3482758620689655,0.0,0.10209024288923516,2024-11-04 08:08:38,0.4286120037279735,True,False,True,False,False,False
AC00264,0.40727519086953123,2023-11-20 16:39:15,1,22,53,24,0,0.12903225806451613,3,0.3896551724137931,0.0,0.005944850820811549,2024-11-04 08:07:06,0.8844511272784351,True,False,True,False,False,False
AC00085,0.08689058550694426,2023-02-13 16:53:57,1,21,299,16,2,0.0,3,0.4275862068965517,0.0,0.013355076448200345,2024-11-04 08:10:09,0.11545719602762716,False,False,True,False,False,False
AC00270,0.2424316647992287,2023-12-12 16:23:31,1,10,451,24,0,0.29032258064516125,1,0.4103448275862069,0.0,0.22614430312017286,2024-11-04 08:12:19,0.944833867303453,True,False,True,False,False,False
AC00317,0.2895171587148552,2023-10-30 16:52:49,0,2,651,47,1,0.016129032258064557,3,0.5103448275862069,0.0,0.06923627084966197,2024-11-04 08:07:35,0.8267998695546179,False,False,True,False,False,False
AC00359,0.2567527425280767,2023-12-14 18:32:14,1,8,417,58,2,0.33870967741935487,1,0.7724137931034483,0.0,0.3366812890458528,2024-11-04 08:11:51,0.9505732288731868,False,False,True,False,False,False
AC00242,0.00959949970034135,2023-02-21 16:56:50,0,0,513,53,1,0.6612903225806451,2,0.3310344827586207,0.0,0.5274757776233234,2024-11-04 08:12:01,0.13743102512885508,False,False,True,False,False,False
