TransactionID,TransactionAmount,TransactionDate,R1_HighAmount,AccountID,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,R2_HighLoginAttempts,TimeSinceLastTxn,R3_VeryFrequent,R4_NewDeviceUsed,R5_NewLocationUsed,TotalFlags,R6_SuspiciousMerchant,Fraud_Label
TX001313,47.79,2023-09-15 17:00:20,0,AC00001,Debit,Denver,D000649,59.12.96.11,M034,Branch,25,Student,37,1,1649.92,2024-11-04 08:11:55,0,-35910695.0,1,1,1,3,1,1
TX002017,212.97,2023-11-14 16:56:34,1,AC00001,Debit,Atlanta,D000492,45.241.13.208,M003,Online,59,Engineer,178,1,4180.4,2024-11-04 08:10:42,0,-30726848.0,1,1,1,4,1,1
TX002121,476.99,2023-01-10 16:00:32,0,AC00002,Debit,San Diego,D000594,113.137.153.101,M022,Online,23,Student,187,1,1154.48,2024-11-04 08:10:10,0,-57341378.0,1,1,1,3,1,1
TX000021,59.32,2023-02-28 16:36:58,0,AC00002,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,71,Retired,38,1,5750.89,2024-11-04 08:09:24,0,-53105546.0,1,1,1,3,1,1
TX001477,12.62,2023-05-05 16:35:44,0,AC00002,Debit,El Paso,D000475,93.160.83.196,M068,Branch,33,Doctor,61,1,6420.47,2024-11-04 08:09:03,0,-47403199.0,1,1,1,3,1,1
TX000062,263.99,2023-05-16 16:07:30,0,AC00002,Debit,Dallas,D000285,7.146.35.122,M087,Branch,79,Retired,227,2,4175.02,2024-11-04 08:11:03,0,-46454613.0,1,1,1,3,1,1
TX001599,395.16,2023-07-24 16:14:05,0,AC00002,Debit,Milwaukee,D000269,165.38.56.205,M059,Online,56,Retired,17,1,5340.73,2024-11-04 08:11:15,0,-40492630.0,1,1,1,3,1,1
TX001674,331.66,2023-09-11 17:52:59,0,AC00002,Debit,Las Vegas,D000041,1.198.76.182,M040,ATM,76,Retired,145,1,7216.3,2024-11-04 08:08:23,0,-36252924.0,1,1,1,3,1,1
TX001029,516.47,2023-12-21 17:00:50,1,AC00002,Credit,Charlotte,D000420,59.132.247.252,M026,ATM,25,Student,94,1,1305.06,2024-11-04 08:09:51,0,-27529741.0,1,1,1,4,1,1
TX002326,20.17,2023-01-02 16:45:05,0,AC00003,Debit,San Antonio,D000287,221.23.158.87,M088,ATM,77,Retired,86,1,3869.37,2024-11-04 08:08:39,0,-58029814.0,1,1,1,3,1,1
TX001841,237.97,2023-01-09 17:26:46,1,AC00003,Debit,Columbus,D000498,170.154.69.105,M089,ATM,69,Doctor,69,1,13486.15,2024-11-04 08:06:37,0,-57422391.0,1,1,1,4,1,1
TX002363,416.62,2023-03-06 17:26:59,1,AC00003,Credit,Baltimore,D000495,161.195.172.148,M091,Online,26,Student,67,1,9700.9,2024-11-04 08:11:23,0,-52584264.0,1,1,1,4,1,1
TX001904,384.11,2023-05-15 16:35:43,1,AC00003,Debit,Fort Worth,D000290,194.88.79.54,M032,ATM,58,Retired,12,1,7902.52,2024-11-04 08:06:36,0,-46539053.0,1,1,1,4,1,1
TX002248,207.47,2023-10-02 18:57:19,0,AC00003,Debit,Miami,D000643,147.234.20.46,M045,ATM,53,Doctor,12,1,1688.9,2024-11-04 08:07:01,0,-34434582.0,1,1,1,3,1,1
TX001851,13.16,2023-05-01 17:36:10,0,AC00004,Debit,Mesa,D000098,161.177.41.214,M084,Branch,43,Engineer,98,1,1019.46,2024-11-04 08:10:30,0,-47745260.0,1,1,1,3,1,1
TX000707,642.54,2023-05-10 18:49:20,1,AC00004,Debit,Milwaukee,D000663,166.79.195.157,M025,Branch,44,Engineer,28,1,3143.17,2024-11-04 08:10:37,0,-46963277.0,1,1,1,4,1,1
TX001648,99.25,2023-06-26 16:53:58,0,AC00004,Credit,Phoenix,D000524,17.87.7.140,M048,Online,63,Retired,93,1,2570.34,2024-11-04 08:07:33,0,-42909215.0,1,1,1,3,1,1
TX000223,547.87,2023-07-10 17:15:27,1,AC00004,Debit,Columbus,D000183,188.205.152.176,M064,ATM,64,Retired,131,1,6155.76,2024-11-04 08:10:31,0,-41698504.0,1,1,1,4,1,1
TX002442,61.62,2023-10-09 16:01:25,0,AC00004,Debit,Miami,D000134,93.218.115.132,M066,Online,57,Doctor,19,1,8365.37,2024-11-04 08:12:02,0,-33840637.0,1,1,1,3,1,1
TX002391,136.31,2023-10-30 16:38:14,0,AC00004,Debit,Nashville,D000405,6.234.101.35,M055,Online,74,Retired,65,1,4384.95,2024-11-04 08:08:41,0,-32023827.0,1,1,1,3,1,1
TX001820,365.43,2023-11-23 16:51:06,0,AC00004,Debit,Portland,D000146,136.172.149.77,M014,ATM,25,Student,176,1,1073.51,2024-11-04 08:09:24,0,-29949498.0,1,1,1,3,1,1
TX002328,273.24,2023-12-12 16:56:18,0,AC00004,Debit,Fresno,D000626,211.45.75.44,M011,Branch,51,Retired,173,1,2202.21,2024-11-04 08:10:05,0,-28307627.0,1,1,1,3,1,1
TX000245,40.66,2024-01-01 16:08:49,0,AC00004,Debit,Louisville,D000214,148.25.159.90,M061,Branch,59,Retired,156,1,1153.84,2024-11-04 08:11:28,0,-26582559.0,1,1,1,3,1,1
TX002315,162.59,2023-02-22 16:18:32,0,AC00005,Debit,Indianapolis,D000401,201.95.180.152,M098,Branch,64,Retired,19,1,7104.83,2024-11-04 08:08:46,0,-53625014.0,1,1,1,3,1,1
TX000944,377.92,2023-02-22 17:29:36,1,AC00005,Debit,Raleigh,D000360,179.43.245.131,M029,Branch,33,Engineer,204,1,2254.71,2024-11-04 08:06:53,0,-53620637.0,1,1,1,4,1,1
TX001792,680.76,2023-02-27 16:38:41,1,AC00005,Debit,Kansas City,D000035,60.89.202.192,M011,Branch,21,Student,165,1,572.97,2024-11-04 08:09:04,0,-53191823.0,1,1,1,4,1,1
TX000547,420.28,2023-05-17 17:28:25,0,AC00005,Debit,Washington,D000677,110.150.1.201,M002,Branch,35,Doctor,144,1,8557.32,2024-11-04 08:09:01,0,-46363236.0,1,1,1,3,1,1
TX000760,417.8,2023-06-26 16:21:14,0,AC00005,Credit,Philadelphia,D000630,49.31.186.82,M066,Branch,27,Student,130,1,1518.82,2024-11-04 08:09:17,0,-42911283.0,1,1,1,3,1,1
TX000195,488.54,2023-07-03 17:47:49,0,AC00005,Debit,Jacksonville,D000466,198.24.183.157,M036,Branch,52,Engineer,132,1,7486.63,2024-11-04 08:07:26,0,-42301177.0,1,1,1,3,1,1
TX001971,116.89,2023-11-20 16:31:15,0,AC00005,Debit,Columbus,D000328,146.250.144.172,M064,Online,71,Retired,226,1,4880.31,2024-11-04 08:06:37,0,-30209722.0,1,1,1,3,1,1
TX002083,359.51,2023-11-30 18:08:39,0,AC00005,Debit,Charlotte,D000144,32.169.88.41,M010,Online,79,Retired,157,1,7153.72,2024-11-04 08:12:11,0,-29340212.0,1,1,1,3,1,1
TX001038,107.48,2023-12-04 18:01:53,0,AC00005,Debit,Omaha,D000221,44.73.3.217,M080,Branch,22,Student,129,1,591.23,2024-11-04 08:08:11,0,-28994778.0,1,1,1,3,1,1
TX000662,158.56,2023-02-28 17:28:13,0,AC00006,Debit,Sacramento,D000027,218.238.171.184,M087,ATM,33,Doctor,100,1,5401.21,2024-11-04 08:10:48,0,-53102555.0,1,1,1,3,1,1
TX000216,74.88,2023-05-24 16:25:50,0,AC00006,Debit,Atlanta,D000139,161.161.26.115,M026,ATM,25,Student,202,1,420.67,2024-11-04 08:07:46,0,-45762116.0,1,1,1,3,1,1
TX001406,611.15,2023-08-11 17:12:30,1,AC00006,Debit,Detroit,D000044,51.250.46.149,M009,ATM,27,Student,121,1,892.83,2024-11-04 08:09:23,0,-38933813.0,1,1,1,4,1,1
TX001977,173.13,2023-10-05 16:46:31,0,AC00006,Credit,Atlanta,D000485,5.50.152.168,M044,Online,20,Student,288,1,1490.34,2024-11-04 08:07:24,0,-34183253.0,1,1,0,2,1,1
TX000077,162.63,2023-06-12 17:53:52,0,AC00007,Debit,Kansas City,D000070,60.153.124.80,M060,Online,22,Student,113,1,634.17,2024-11-04 08:08:22,0,-44115270.0,1,1,1,3,1,1
